,WELL_BORE_CODE,YEAR,MONTH,ON_STREAM_HRS,OIL_SM3,GAS_SM3,WATER_SM3,GI_SM3,WI_SM3
30,Well-N1,2013,12,662.08335,33405.75,5190658.82,4963.26,,
31,Well-N1,2014,1,668.08333,34552.37,5193353.22,4343.49,,
32,Well-N1,2014,2,562.66666,28189.97,4255282.68,2841.37,,
33,Well-N1,2014,3,655.49999,33290.79,5039849.75,3692.22,,
34,Well-N1,2014,4,691.51685,35428.73,5301958.8,4124.45,,
35,Well-N1,2014,5,731.5,34831.88,4902619.28,5017.47,,
36,Well-N1,2014,6,709.33333,33898.64,4990684.52,6083.59,,
37,Well-N1,2014,7,742.66667,33760.33,5035917.29,6800.85,,
38,Well-N1,2014,8,599.11669,26037.54,4033770.42,6076.52,,
39,Well-N1,2014,9,690.66667,33221.64,5220328.68,8349.05,,
40,Well-N1,2014,10,745.0,33851.72,5237208.3,10287.9,,
41,Well-N1,2014,11,692.39181,26611.5,4153116.29,9403.58,,
42,Well-N1,2014,12,733.8582,8547.92,1413111.64,3079.05,,
43,Well-N1,2015,1,708.33333,29561.8,4358978.95,13860.6,,
44,Well-N1,2015,2,632.16667,25347.22,3836073.69,14061.01,,
45,Well-N1,2015,3,743.83333,44316.19,6516700.49,19387.3,,
46,Well-N1,2015,4,720.0,54555.76,7956467.49,23839.72,,
47,Well-N1,2015,5,744.0,55029.22,8027510.44,24425.53,,
48,Well-N1,2015,6,718.81667,48231.1,7065851.59,22891.62,,
49,Well-N1,2015,7,744.0,43784.66,6508853.29,36195.93,,
50,Well-N1,2015,8,632.01681,31498.15,4769902.18,31870.44,,
51,Well-N1,2015,9,718.72458,31424.59,4748109.86,37411.85,,
52,Well-N1,2015,10,626.89181,29724.78,4501570.02,38022.56,,
53,Well-N1,2015,11,671.3082,36410.23,5558573.35,57058.61,,
54,Well-N1,2015,12,740.16667,35933.9,5504665.46,62976.28,,
55,Well-N1,2016,1,736.49999,31603.26,4949940.78,67980.66,,
56,Well-N1,2016,2,695.58333,25954.57,4093286.56,66610.49,,
57,Well-N1,2016,3,743.0,25023.66,4032038.1,76636.96,,
58,Well-N1,2016,4,579.08332,13429.0,2194427.05,57931.66,,
59,Well-N1,2016,5,744.0,15528.75,2450713.77,73445.23,,
60,Well-N1,2016,6,718.41667,14590.61,2349131.22,71699.35,,
61,Well-N1,2016,7,740.00101,14384.88,2309447.47,77084.72,,
62,Well-N1,2016,8,743.66667,14583.73,2341371.55,87762.19,,
63,Well-N1,2016,9,392.27514,8609.18,1458816.35,46779.39,,
64,Well-W1,2008,2,406.62499,49091.06,7068009.29,412.61,,
65,Well-W1,2008,3,655.10834,83361.26,12191170.91,27.42,,
66,Well-W1,2008,4,613.64666,74532.45,11506440.74,482.05,,
67,Well-W1,2008,5,716.19167,125478.56,19091871.52,16280.12,,
68,Well-W1,2008,6,675.91669,143786.85,21512333.93,474.37,,
69,Well-W1,2008,7,710.74165,114994.61,17116441.78,290.02,,
70,Well-W1,2008,8,672.83334,97822.46,14143008.24,354.18,,
71,Well-W1,2008,9,567.97499,77666.95,11185944.41,188.39,,
72,Well-W1,2008,10,737.50001,94357.23,13430833.95,624.05,,
73,Well-W1,2008,11,712.66667,145915.56,20837122.26,2390.31,,
74,Well-W1,2008,12,744.0,166439.67,24106361.74,1003.31,,
75,Well-W1,2009,1,740.83332,153677.16,22255224.02,389.76,,
76,Well-W1,2009,2,656.30834,121905.01,17427051.54,0.0,,
77,Well-W1,2009,3,506.33334,92958.71,13123546.99,0.0,,
78,Well-W1,2009,4,719.16667,150955.68,20931107.81,1246.29,,
79,Well-W1,2009,5,695.16666,141039.01,19366853.43,3106.49,,
80,Well-W1,2009,6,715.31666,132429.71,17787475.65,2658.63,,
81,Well-W1,2009,7,742.16666,106105.25,14721967.2,3289.44,,
82,Well-W1,2009,8,589.075,112414.27,15676349.96,5024.01,,
83,Well-W1,2009,9,493.25,90098.89,12553421.69,2235.08,,
84,Well-W1,2009,10,683.74166,126939.65,17819694.28,6812.79,,
85,Well-W1,2009,11,705.75001,136015.68,19181583.58,11286.87,,
86,Well-W1,2009,12,728.5,158001.52,22160862.45,17321.2,,
87,Well-W1,2010,1,742.16666,149658.83,21044604.02,30230.27,,
88,Well-W1,2010,2,608.725,103026.0,14520589.94,43215.66,,
89,Well-W1,2010,3,647.66666,101571.61,14278518.8,53998.5,,
90,Well-W1,2010,4,705.99999,86253.61,12161145.93,67996.09,,
91,Well-W1,2010,5,733.16667,77113.56,10970381.3,74438.31,,
92,Well-W1,2010,6,717.16667,69617.37,9944534.27,83268.36,,
93,Well-W1,2010,7,742.33334,64039.69,9283376.77,95054.15,,
94,Well-W1,2010,8,427.43334,30117.36,4346504.25,54787.65,,
95,Well-W1,2010,9,644.74999,51312.93,7750210.88,89428.8,,
96,Well-W1,2010,10,743.00001,51430.58,7741377.24,99542.87,,
97,Well-W1,2010,11,690.33333,44468.45,6747077.64,102235.65,,
98,Well-W1,2010,12,741.33333,45217.96,6910660.46,111335.89,,
99,Well-W1,2011,1,743.5,44746.55,6824000.89,116885.54,,
100,Well-W1,2011,2,557.24999,29157.49,4519227.07,85274.18,,
101,Well-W1,2011,3,729.83334,37395.05,5760219.21,113239.35,,
102,Well-W1,2011,4,717.91667,37819.72,5877460.87,116196.38,,
103,Well-W1,2011,5,736.04167,37204.71,5801740.29,119567.47,,
104,Well-W1,2011,6,463.26667,22026.06,3412025.77,74563.44,,
105,Well-W1,2011,7,245.24669,12462.42,1823751.35,31887.51,,
106,Well-W1,2011,8,651.49332,36380.15,5446516.53,99004.87,,
107,Well-W1,2011,9,707.0,29999.17,4566406.76,110471.84,,
108,Well-W1,2011,10,325.66166,12647.5,1919664.23,52875.8,,
109,Well-W1,2011,11,459.33334,21789.05,3242433.68,75772.93,,
110,Well-W1,2011,12,424.82166,18090.2,2650493.31,64676.69,,
111,Well-W1,2012,1,399.65834,18217.85,2722573.45,63857.71,,
112,Well-W1,2012,2,688.75833,27362.26,4289924.83,133954.93,,
113,Well-W1,2012,3,740.41666,26679.88,4276185.92,142184.01,,
114,Well-W1,2012,4,710.29167,24088.35,3866150.19,138112.43,,
115,Well-W1,2012,5,737.69167,22415.15,3630958.27,140203.43,,
116,Well-W1,2012,6,711.33334,20887.38,3394646.36,134081.24,,
117,Well-W1,2012,7,744.0,21206.94,3444768.69,140164.53,,
118,Well-W1,2012,8,288.625,8998.24,1376155.08,54786.62,,
119,Well-W1,2012,9,26.99166,1013.93,156920.4,4513.08,,
120,Well-W1,2012,10,610.175,19612.85,3067585.4,121317.43,,
121,Well-W1,2012,11,720.0,19018.88,3086439.76,134909.36,,
122,Well-W1,2012,12,700.24999,16320.65,2717290.03,131667.43,,
123,Well-W1,2013,1,744.0,17408.57,2881178.96,139783.93,,
124,Well-W1,2013,2,672.0,15087.38,2461248.52,126325.44,,
125,Well-W1,2013,3,307.76833,6305.81,1053665.62,57120.76,,
126,Well-W1,2013,4,513.46573,12351.34,2055291.86,102945.43,,
127,Well-W1,2013,5,732.05834,16313.4,2757755.17,147164.69,,
128,Well-W1,2013,6,566.675,11899.57,2037219.83,112559.07,,
129,Well-W1,2013,7,581.275,11861.63,1919702.47,112172.58,,
130,Well-W1,2013,8,687.97685,15147.18,2354241.49,152994.91,,
131,Well-W1,2013,9,589.985,9223.53,1446819.31,104678.41,,
132,Well-W1,2013,10,680.0,8305.01,1283583.5,137534.62,,
133,Well-W1,2013,11,648.64167,7170.56,1102962.23,122993.19,,
134,Well-W1,2013,12,633.4,7079.52,1101388.53,125859.26,,
135,Well-W1,2014,1,486.14168,4997.24,766195.72,87030.26,,
136,Well-W1,2014,2,561.9,6101.4,921967.01,110297.86,,
137,Well-W1,2014,3,656.72426,6835.66,1036071.18,127351.18,,
138,Well-W1,2014,4,693.01833,5892.01,883605.0,141144.82,,
139,Well-W1,2014,5,427.32999,3237.7,469664.0,88748.26,,
140,Well-W1,2014,6,707.33333,5751.2,846733.74,152034.68,,
141,Well-W1,2014,7,743.16667,5791.84,864045.93,152314.38,,
142,Well-W1,2014,8,593.36666,4448.49,704538.16,126629.09,,
143,Well-W1,2014,9,685.83333,5062.59,803970.67,149375.78,,
144,Well-W1,2014,10,745.0,5385.61,833120.57,155365.68,,
145,Well-W1,2014,11,580.94167,4495.06,700998.22,114660.7,,
146,Well-W1,2014,12,0.0,0.0,0.0,0.0,,
147,Well-W1,2015,1,715.58333,25712.55,3780459.43,11588.22,,
148,Well-W1,2015,2,622.79666,19578.55,2960674.24,15115.5,,
149,Well-W1,2015,3,665.125,19341.43,2853432.83,19255.66,,
150,Well-W1,2015,4,720.0,19796.56,2889394.96,20808.06,,
151,Well-W1,2015,5,744.0,16996.48,2479620.4,25200.83,,
152,Well-W1,2015,6,709.31667,19536.3,2859707.1,32902.68,,
153,Well-W1,2015,7,744.0,19157.45,2846820.92,36480.53,,
154,Well-W1,2015,8,636.68333,13473.27,2047120.71,31629.02,,
155,Well-W1,2015,9,719.32486,12494.51,1888048.66,35065.36,,
156,Well-W1,2015,10,738.66667,11888.63,1821328.15,38151.12,,
157,Well-W1,2015,11,719.50001,11369.48,1748311.35,37662.5,,
158,Well-W1,2015,12,731.33334,10855.97,1662453.18,37288.0,,
159,Well-W1,2016,1,736.49999,9494.98,1487340.06,38969.86,,
160,Well-W1,2016,2,695.58333,7644.12,1205549.1,35253.46,,
161,Well-W1,2016,3,743.0,7359.93,1185893.56,40507.21,,
162,Well-W1,2016,4,718.83333,6152.17,1015034.36,37126.04,,
163,Well-W1,2016,5,740.5,5865.13,925513.84,36147.78,,
164,Well-W1,2016,6,703.25833,5408.31,870533.4,34608.45,,
165,Well-W1,2016,7,703.72593,4533.82,729319.16,29940.18,,
166,Well-W1,2016,8,285.89167,1442.03,232557.71,10937.14,,
167,Well-W1,2016,9,0.0,0.0,0.0,0.0,,
168,Well-C1,2008,2,0.0,0.0,0.0,0.0,,
169,Well-C1,2008,3,0.0,0.0,0.0,0.0,,
170,Well-C1,2008,4,0.0,0.0,0.0,0.0,,
171,Well-C1,2008,5,0.0,0.0,0.0,0.0,,
172,Well-C1,2008,6,0.0,0.0,0.0,0.0,,
173,Well-C1,2008,7,437.57,51285.08,7538861.07,126.17,,
174,Well-C1,2008,8,458.4,67621.2,9780532.34,222.53,,
175,Well-C1,2008,9,642.70833,114596.26,16340514.75,275.73,,
176,Well-C1,2008,10,742.5,142817.06,20326866.32,101.25,,
177,Well-C1,2008,11,717.83333,104409.61,14906020.01,189.89,,
178,Well-C1,2008,12,744.0,110199.28,15956253.45,66.54,,
179,Well-C1,2009,1,705.16665,115572.66,16718455.33,977.79,,
180,Well-C1,2009,2,638.41668,113880.98,16254377.44,2529.24,,
181,Well-C1,2009,3,530.80333,90644.44,12702463.22,1678.17,,
182,Well-C1,2009,4,537.63334,86944.06,11926656.18,246.47,,
183,Well-C1,2009,5,694.66667,116175.04,15944548.83,3440.05,,
184,Well-C1,2009,6,691.89998,86654.03,12141881.11,5731.18,,
185,Well-C1,2009,7,742.16666,64871.82,9127860.49,6772.73,,
186,Well-C1,2009,8,656.82498,112493.5,15664621.81,20793.78,,
187,Well-C1,2009,9,509.07501,90349.8,12564633.24,15274.84,,
188,Well-C1,2009,10,655.42499,96707.32,13556584.82,26099.06,,
189,Well-C1,2009,11,709.25001,98043.5,13821883.66,39016.45,,
190,Well-C1,2009,12,726.66667,89514.35,12552907.78,56173.42,,
191,Well-C1,2010,1,742.16666,82221.25,11561301.92,70004.16,,
192,Well-C1,2010,2,610.175,62092.98,8751248.29,62000.25,,
193,Well-C1,2010,3,654.10832,66989.25,9421805.36,64560.85,,
194,Well-C1,2010,4,679.80833,73035.81,10288470.42,69865.31,,
195,Well-C1,2010,5,740.16667,87809.28,12490295.91,85315.44,,
196,Well-C1,2010,6,717.75,75309.82,10756576.8,96580.92,,
197,Well-C1,2010,7,742.41667,69600.25,10073534.35,101216.35,,
198,Well-C1,2010,8,425.1,38413.73,5543252.28,56452.9,,
199,Well-C1,2010,9,566.14999,55405.21,8260552.19,66506.82,,
200,Well-C1,2010,10,743.16666,78755.31,11853846.58,100949.14,,
201,Well-C1,2010,11,683.41667,62555.48,9485348.68,96969.98,,
202,Well-C1,2010,12,741.5,63886.23,9763159.53,111640.46,,
203,Well-C1,2011,1,744.0,61328.45,9353204.41,111168.02,,
204,Well-C1,2011,2,561.5,44066.31,6830109.59,79492.13,,
205,Well-C1,2011,3,732.5,56709.96,8733754.97,117498.23,,
206,Well-C1,2011,4,717.66667,51814.24,8052242.88,122053.6,,
207,Well-C1,2011,5,741.25,51121.62,7972927.68,129331.86,,
208,Well-C1,2011,6,465.175,31194.51,4835912.15,81258.77,,
209,Well-C1,2011,7,254.50833,20211.31,3064565.93,42012.13,,
210,Well-C1,2011,8,652.325,49730.28,7681607.89,108934.77,,
211,Well-C1,2011,9,708.0,51053.13,8021384.18,133957.61,,
212,Well-C1,2011,10,327.07499,21807.23,3406338.4,56487.87,,
213,Well-C1,2011,11,464.30833,35043.89,5381237.58,73586.39,,
214,Well-C1,2011,12,436.65001,34166.4,5142969.72,74442.9,,
215,Well-C1,2012,1,363.81667,27309.23,4156158.72,57518.38,,
216,Well-C1,2012,2,692.66666,36797.66,5598558.93,55275.84,,
217,Well-C1,2012,3,740.83334,34745.59,5378188.67,60225.91,,
218,Well-C1,2012,4,720.0,36509.79,5673229.82,72811.24,,
219,Well-C1,2012,5,741.08334,35051.96,5495387.93,82877.31,,
220,Well-C1,2012,6,711.16667,31665.55,4980411.28,80184.2,,
221,Well-C1,2012,7,744.0,32960.7,5181262.48,83969.56,,
222,Well-C1,2012,8,288.625,12689.84,1974233.52,33257.32,,
223,Well-C1,2012,9,30.78333,1655.08,245981.03,2918.19,,
224,Well-C1,2012,10,610.175,33944.02,5155057.85,60061.38,,
225,Well-C1,2012,11,720.0,34931.66,5485685.31,87226.64,,
226,Well-C1,2012,12,710.99999,30122.89,4854889.04,93523.46,,
227,Well-C1,2013,1,744.0,30184.8,4834717.2,99784.43,,
228,Well-C1,2013,2,667.91667,26595.53,4196331.85,92120.59,,
229,Well-C1,2013,3,508.30167,18816.52,2783792.79,70618.72,,
230,Well-C1,2013,4,557.33333,22875.42,3676256.95,79450.26,,
231,Well-C1,2013,5,733.50001,27661.53,4525932.12,109553.2,,
232,Well-C1,2013,6,630.08333,22298.26,3652742.89,93413.24,,
233,Well-C1,2013,7,660.84167,22602.78,3553396.55,94589.45,,
234,Well-C1,2013,8,687.825,21666.9,3259563.55,91453.17,,
235,Well-C1,2013,9,626.825,17870.72,2707856.27,92677.05,,
236,Well-C1,2013,10,658.66666,18441.11,2757135.18,96753.57,,
237,Well-C1,2013,11,681.25,19248.66,2853579.7,103737.87,,
238,Well-C1,2013,12,630.08333,15495.97,2330523.99,97307.32,,
239,Well-C1,2014,1,673.25,16686.58,2426753.21,106725.74,,
240,Well-C1,2014,2,598.60834,14766.13,2161271.57,96430.28,,
241,Well-C1,2014,3,677.16666,14954.84,2196383.02,101501.18,,
242,Well-C1,2014,4,701.45833,16572.24,2398888.09,104862.29,,
243,Well-C1,2014,5,701.5,13637.02,1943519.37,98851.21,,
244,Well-C1,2014,6,710.0,13257.99,1951326.48,103420.97,,
245,Well-C1,2014,7,743.08334,13495.98,2012912.64,99765.12,,
246,Well-C1,2014,8,599.78333,8443.73,1333766.64,82815.84,,
247,Well-C1,2014,9,689.66666,9622.21,1516704.37,97941.37,,
248,Well-C1,2014,10,745.0,10076.22,1558794.24,104963.4,,
249,Well-C1,2014,11,708.5,10386.41,1643092.74,103384.87,,
250,Well-C1,2014,12,740.83334,9665.11,1601950.3,100254.94,,
251,Well-C1,2015,1,718.13333,9120.98,1357132.6,95024.85,,
252,Well-C1,2015,2,655.05833,7178.8,1092571.04,91844.46,,
253,Well-C1,2015,3,744.0,8069.04,1195524.25,107454.33,,
254,Well-C1,2015,4,720.0,7687.2,1121236.5,101303.06,,
255,Well-C1,2015,5,744.0,7147.79,1042506.82,102927.47,,
256,Well-C1,2015,6,718.81667,6069.93,889055.86,100367.07,,
257,Well-C1,2015,7,741.04194,6720.74,999142.24,96224.54,,
258,Well-C1,2015,8,629.39181,4876.31,737504.53,79596.64,,
259,Well-C1,2015,9,719.07486,5300.41,799234.86,84511.31,,
260,Well-C1,2015,10,741.91667,5634.86,863230.28,97864.97,,
261,Well-C1,2015,11,719.50001,5431.56,835108.42,96061.08,,
262,Well-C1,2015,12,740.5,5158.09,790131.36,94593.75,,
263,Well-C1,2016,1,736.33332,4606.3,721123.87,97147.72,,
264,Well-C1,2016,2,695.58333,3941.77,621658.73,86357.85,,
265,Well-C1,2016,3,737.66666,3753.8,604911.16,98119.24,,
266,Well-C1,2016,4,715.83333,3112.41,514414.42,91934.95,,
267,Well-C1,2016,5,738.0,3212.96,506857.03,89415.55,,
268,Well-C1,2016,6,716.08333,3075.03,495103.7,88380.72,,
269,Well-C1,2016,7,301.225,1326.86,215288.52,37892.52,,
270,Well-C1,2016,8,0.0,0.0,0.0,0.0,,
271,Well-C1,2016,9,0.0,0.0,0.0,0.0,,
272,Well-S1,2014,1,339.91667,5674.63,820968.96,0.0,,
273,Well-S1,2014,2,595.65001,7898.6,1196183.89,0.0,,
274,Well-S1,2014,3,670.75,7081.47,1076363.95,0.0,,
275,Well-S1,2014,4,700.875,7163.3,1074270.33,0.0,,
276,Well-S1,2014,5,744.0,7218.61,1014000.02,0.0,,
277,Well-S1,2014,6,709.33334,7012.55,1032224.48,0.0,,
278,Well-S1,2014,7,732.66639,6847.42,1021004.31,0.0,,
279,Well-S1,2014,8,433.325,3475.39,526611.07,0.0,,
280,Well-S1,2014,9,647.45834,5314.55,833248.65,0.0,,
281,Well-S1,2014,10,733.33333,5732.97,886879.16,182.78,,
282,Well-S1,2014,11,597.375,4716.31,732052.12,192.87,,
283,Well-S1,2014,12,0.0,0.0,0.0,0.0,,
284,Well-S1,2015,1,697.46666,5975.51,878873.59,207.79,,
285,Well-S1,2015,2,649.39166,4581.29,696960.15,258.99,,
286,Well-S1,2015,3,665.66667,4133.47,610220.42,309.74,,
287,Well-S1,2015,4,720.0,4259.92,621371.14,318.03,,
288,Well-S1,2015,5,737.16667,4057.96,591890.28,301.77,,
289,Well-S1,2015,6,718.98334,3665.8,537022.8,291.57,,
290,Well-S1,2015,7,420.18361,2238.45,329941.91,184.75,,
291,Well-S1,2015,8,276.29097,3577.67,542285.92,1856.58,,
292,Well-S1,2015,9,719.15805,7417.35,1121246.68,3986.62,,
293,Well-S1,2015,10,743.16667,6346.83,972413.69,3628.62,,
294,Well-S1,2015,11,438.72541,3926.01,605737.54,2740.47,,
295,Well-S1,2015,12,541.175,4919.04,751606.71,5075.94,,
296,Well-S1,2016,1,350.4,2890.93,445568.02,3648.91,,
297,Well-S1,2016,2,694.75,5109.33,805794.85,5891.02,,
298,Well-S1,2016,3,550.65832,3747.55,600593.91,5035.04,,
299,Well-S1,2016,4,576.50834,4544.16,751127.49,5688.1,,
300,Well-S1,2016,5,677.16667,4699.01,740192.61,6004.13,,
301,Well-S1,2016,6,604.91666,3463.91,555535.97,5390.5,,
302,Well-S1,2016,7,138.375,828.57,133160.33,1172.18,,
303,Well-S1,2016,8,0.0,0.0,0.0,0.0,,
304,Well-S1,2016,9,0.0,0.0,0.0,0.0,,
305,Well-W2,2007,9,,,,,,
306,Well-W2,2007,10,,,,,,
307,Well-W2,2007,11,,,,,,
308,Well-W2,2007,12,,,,,,
309,Well-W2,2008,1,0.0,,,,,
310,Well-W2,2008,2,0.0,,,,,
311,Well-W2,2008,3,0.0,,,,,0.0
312,Well-W2,2008,4,118.65,,,,,29752.6868934256
313,Well-W2,2008,5,714.005,,,,,221337.106474167
314,Well-W2,2008,6,598.81667,,,,,211803.653863971
315,Well-W2,2008,7,620.80833,,,,,232029.662740333
316,Well-W2,2008,8,663.07502,,,,,213913.263893971
317,Well-W2,2008,9,558.14562,,,,,98583.3012661537
318,Well-W2,2008,10,701.91667,,,,,233503.405901225
319,Well-W2,2008,11,711.66667,,,,,222126.099228406
320,Well-W2,2008,12,742.66666,,,,,263191.836677708
321,Well-W2,2009,1,699.33332,,,,,246659.903594167
322,Well-W2,2009,2,639.66667,,,,,221133.680716042
323,Well-W2,2009,3,191.08332,,,,,61187.9687033333
324,Well-W2,2009,4,543.8,,,,,106559.345925
325,Well-W2,2009,5,710.5,,,,,231503.095579792
326,Well-W2,2009,6,690.64999,,,,,129987.983646667
327,Well-W2,2009,7,734.83333,,,,,191228.27029625
328,Well-W2,2009,8,704.825,,,,,191924.357519375
329,Well-W2,2009,9,509.66667,,,,,163785.321840131
330,Well-W2,2009,10,683.72853,,,,,182104.727543237
331,Well-W2,2009,11,706.24999,,,,,203874.347425119
332,Well-W2,2009,12,739.5,,,,,219529.236709671
333,Well-W2,2010,1,735.16667,,,,,222678.958313347
334,Well-W2,2010,2,596.16667,,,,,185785.741334561
335,Well-W2,2010,3,622.40834,,,,,168939.051110951
336,Well-W2,2010,4,669.83335,,,,,222633.11720427
337,Well-W2,2010,5,744.0,,,,,252526.346411458
338,Well-W2,2010,6,715.66667,,,,,210363.840612934
339,Well-W2,2010,7,743.5,,,,,198041.396154167
340,Well-W2,2010,8,420.26666,,,,,108631.757958946
341,Well-W2,2010,9,631.15833,,,,,145251.245176865
342,Well-W2,2010,10,700.57499,,,,,194727.431412784
343,Well-W2,2010,11,644.84167,,,,,167466.128953194
344,Well-W2,2010,12,716.83334,,,,,188426.124912775
345,Well-W2,2011,1,731.08333,,,,,189083.650330417
346,Well-W2,2011,2,536.74998,,,,,135389.679945627
347,Well-W2,2011,3,716.25001,,,,,184841.172723103
348,Well-W2,2011,4,696.5,,,,,180529.418434508
349,Well-W2,2011,5,737.25001,,,,,188176.55544131
350,Well-W2,2011,6,436.09167,,,,,120235.261201162
351,Well-W2,2011,7,248.09168,,,,,65179.6328554167
352,Well-W2,2011,8,642.825,,,,,173404.703851023
353,Well-W2,2011,9,689.16666,,,,,174968.31468
354,Well-W2,2011,10,329.05,,,,,77827.9568327083
355,Well-W2,2011,11,475.16665,,,,,121602.289256042
356,Well-W2,2011,12,438.68335,,,,,109912.560993958
357,Well-W2,2012,1,426.25,,,,,91244.76426375
358,Well-W2,2012,2,691.08333,,,,,147124.848014375
359,Well-W2,2012,3,735.08334,,,,,149154.710562092
360,Well-W2,2012,4,720.0,,,,,147365.65297375
361,Well-W2,2012,5,733.08334,,,,,149129.814314583
362,Well-W2,2012,6,710.16667,,,,,144762.430550208
363,Well-W2,2012,7,744.0,,,,,150430.98628
364,Well-W2,2012,8,292.125,,,,,58172.3746189583
365,Well-W2,2012,9,31.65833,,,,,6025.00774333333
366,Well-W2,2012,10,507.99165,,,,,110449.682200833
367,Well-W2,2012,11,720.0,,,,,162488.446784167
368,Well-W2,2012,12,698.50001,,,,,144569.261914792
369,Well-W2,2013,1,734.25001,,,,,155627.704288125
370,Well-W2,2013,2,672.0,,,,,138901.75543
371,Well-W2,2013,3,483.35168,,,,,96659.95246625
372,Well-W2,2013,4,563.50333,,,,,116028.211177083
373,Well-W2,2013,5,681.80001,,,,,156535.024062083
374,Well-W2,2013,6,573.33333,,,,,132162.427204167
375,Well-W2,2013,7,652.70833,,,,,133542.635932292
376,Well-W2,2013,8,689.71666,,,,,156070.855948125
377,Well-W2,2013,9,608.44167,,,,,130322.732728125
378,Well-W2,2013,10,650.41667,,,,,144742.567870833
379,Well-W2,2013,11,682.33333,,,,,155972.70506125
380,Well-W2,2013,12,676.24999,,,,,148594.157254167
381,Well-W2,2014,1,682.08334,,,,,147807.99611625
382,Well-W2,2014,2,579.105,,,,,131023.21384
383,Well-W2,2014,3,685.99999,,,,,154097.211248687
384,Well-W2,2014,4,707.54167,,,,,185314.470035208
385,Well-W2,2014,5,606.33334,,,,,156189.176303932
386,Well-W2,2014,6,697.99643,,,,,202240.5579125
387,Well-W2,2014,7,742.16667,,,,,226583.879235
388,Well-W2,2014,8,607.30001,,,,,184109.826053542
389,Well-W2,2014,9,693.33333,,,,,199867.76395625
390,Well-W2,2014,10,742.33334,,,,,219621.858703883
391,Well-W2,2014,11,619.88333,,,,,166856.737742917
392,Well-W2,2014,12,292.05833,,,,,66671.23168125
393,Well-W2,2015,1,675.88334,,,,,81160.8992102083
394,Well-W2,2015,2,588.88334,,,,,126376.884487292
395,Well-W2,2015,3,744.0,,,,,137054.803790462
396,Well-W2,2015,4,707.66667,,,,,143683.084076667
397,Well-W2,2015,5,744.0,,,,,128648.16758
398,Well-W2,2015,6,717.45,,,,,161283.087375833
399,Well-W2,2015,7,739.675,,,,,156312.540311667
400,Well-W2,2015,8,614.66736,,,,,114753.050129375
401,Well-W2,2015,9,715.98376,,,,,133755.403172083
402,Well-W2,2015,10,728.59946,,,,,135860.216532925
403,Well-W2,2015,11,698.5,,,,,160504.982634792
404,Well-W2,2015,12,739.24999,,,,,152921.636901458
405,Well-W2,2016,1,721.33333,,,,,152129.935574583
406,Well-W2,2016,2,693.41667,,,,,148078.126220417
407,Well-W2,2016,3,743.0,,,,,141201.785620625
408,Well-W2,2016,4,701.83333,,,,,220078.315135417
409,Well-W2,2016,5,744.0,,,,,269279.176161042
410,Well-W2,2016,6,708.58333,,,,,257281.260869792
411,Well-W2,2016,7,608.64998,,,,,197975.70744
412,Well-W2,2016,8,656.58333,,,,,132382.877395208
413,Well-W2,2016,9,340.10833,,,,,61200.8759954167
414,Well-W2,2016,10,,,,,,
415,Well-W2,2016,11,,,,,,
